fen
r3r1k1/1pp2pp1/3qb2p/p7/3pPP2/PP1B2N1/1B4PP/2Q1R1K1 b - - 0 20
r4rk1/pp1q2pp/2n2p2/3pbP2/8/2N2Q2/PP1B2PP/R4R1K b - - 3 20
6k1/5pp1/4p1np/QP1pP3/3P4/5N1P/3N1nPK/3q4 b - - 0 26
r1b1k3/pp2r2q/2p4p/4Q3/4P2n/2NPK2P/PPP5/6R1 w - - 1 25
rn3rk1/2q2pbp/1p1p1np1/pPpPp3/P1P1P1bB/2NB1N2/5PPP/R2QR1K1 w - - 2 15
2rq1rk1/1p3ppp/p1nb1nb1/4N3/8/1B5P/PP1NQPP1/R1B2RK1 w - - 1 17
rn3rk1/1bq1bppp/p2ppn2/1p6/3BPP2/P1NB1N2/1PP3PP/R2Q1RK1 b - - 4 12
r2q1rk1/pbpnppbp/1p1p2p1/8/2PP4/1PBB1N2/P4PPP/R2Q1RK1 w - - 2 11
r2q1rk1/1p1n1pp1/p1n1p2p/3pPb2/3P4/1P2BN1P/P2NBPP1/2bQ1RK1 w - - 0 22
2r2rk1/pp1b1pbp/3p2p1/1PnNp1qn/2P5/3BP3/PBQP1PPP/2KR3R b - - 2 14
r4r1k/1p3p1n/pq1p1n2/4pN1p/2P1P1p1/1P3P2/P3Q1PP/R2R1NK1 w - - 2 21
r2q1rk1/1p4pp/p2p4/4np2/4P2b/2N1B2P/PPP2PPQ/R4RK1 w - - 0 15
6rk/2pb1p2/B2p1q2/P2Pp1np/4Pp1b/2N2PrP/2P1Q1P1/R4NRK w - - 5 31
1r2r1k1/p5pp/3p1pq1/2p2n2/2P5/1P3Q2/PB3PPP/1R2R1K1 b - - 1 20
1k1r1q1r/1bNp4/pR1bp2p/2p2p2/Q1P5/P5P1/1P3Pp1/2K3R1 w - - 0 28
r3r1k1/2q2pp1/p2bbn1p/2p5/3P4/2PQBN1P/2B2PP1/RR4K1 w - - 2 21
r4rk1/pp3ppp/1qn1b3/8/Q7/P1PpPN2/5PPP/R3KB1R b KQ - 0 14
r1b5/2p1k3/p3p3/Pp1pP3/1P1Pn3/2P1P3/1B1q3r/RK3R2 w - - 2 31
r3k3/3n2pp/pp1Q1n2/8/8/2N2P2/PP3P1P/R1B3K1 w - - 0 18
r4rk1/pb1q1ppp/3p2n1/bPpP4/P3B3/5NB1/1P3PPP/1R1Q1RK1 b - - 0 17
1k1r3r/1pp2B1p/p4p2/4b3/7R/1P3P2/P1K2P2/8 w - - 3 24
2r1r1k1/5ppp/2p4b/p1n1P3/2B5/2P2N1P/PP3PP1/3R1RK1 w - - 4 24
r4knr/p1p3pp/5b2/1p1Bp3/3nP3/3P3P/PPP3P1/RNB2RK1 b - - 0 15
r3k2r/1pq1bppp/p1n1p2n/2p1P3/P2pNPP1/1B1P3R/1PP4P/R1B1Q1K1 w kq - 1 16
r1b2rk1/6bp/p7/1pqPpp2/2p5/2P2N1P/PPB1QnP1/R4NK1 w - - 0 23
1r4k1/5p1p/p2p2p1/2pP1nP1/2P2B2/1P6/P5PP/4R1K1 w - - 0 27
r2q1rk1/5pp1/3p1bnp/2pPp3/1pP5/pP1P1NPP/P3BP2/R2Q1RK1 b - - 0 20
rB6/pb1q1pbk/1n2p1p1/1P2P2p/p1P2P1P/5N2/4BKP1/RQ1R4 b - - 0 23
r1b5/4k2p/5pp1/2pBp3/p7/5N2/1PPR1PPP/3R2K1 b - - 1 29
