puzzle_id,fen,mating_moves,rating
X8sVs,8/p2r1bN1/2R4p/3PKpk1/1p6/1P3P2/P7/8 b - - 2 48,d7d5,784
D3CTC,r5rk/pp6/3qb2p/1Bbp4/1P5n/P1N5/2PQ1PP1/R4RK1 w - - 1 21,d2h6,441
mHYCK,4rk2/1R4R1/3p2p1/p1p5/P7/2n5/2P2KPP/4r3 w - - 5 29,b7f7,1199
KQAfv,r2qk2r/pp3pQp/2p2b2/3pNP2/3P4/4P2P/PP4P1/R4nK1 w kq - 1 19,g7f7,1034
AjHyn,4k3/1R6/1ppKP3/8/P6p/8/8/5rq1 w - - 0 55,b7b8,1385
gJ9L4,2r1k3/p2b1pQN/1pq1p3/4P2P/3p1P2/8/PP4r1/1K1R3R w - - 0 23,g7f8,1123
Ek5eF,r2q1rk1/pp1nbppb/4p2p/3p4/2P1p1Q1/1P2P1P1/PB3PNP/R3KB1R w KQ - 0 14,g4g7,665
NJ2G0,4kb1r/3b1ppp/2np4/1B1Np1B1/rP2n3/2P5/P4qPP/R2K3R w k - 0 16,d5c7,962
IjVpY,8/p1p5/5k2/3P1np1/2B1K3/1P1N3r/P5R1/8 b - - 0 37,h3e3,1552
GGpoo,r2q1rk1/pbp1n1pp/1p1p4/3P1p2/1PP5/2QBPp2/1B3PPP/R4RK1 w - - 0 15,c3g7,591
osCSd,3q1k2/5pp1/1p2p2p/pQp1P3/8/P6P/1PP2PP1/5K2 b - - 3 24,d8d1,477
jWmRZ,4r1k1/5ppp/8/pR1p4/2p2n2/B4P2/P1PP1P1P/6K1 b - - 0 28,e8e1,1312
6x2Co,r3k1nr/ppp4q/5p2/2p5/4P1Q1/3PB1P1/PPP2P2/R4RK1 b kq - 0 17,h7h2 h7h1,413
1pC5Z,r4k2/pp4pp/6q1/4Q3/4p3/2P1P2b/PP1N2PP/R5K1 b - - 4 18,g6g2,512
sUOCE,1r4k1/2q2ppp/3b4/2p5/1Pb1pPQ1/4P2P/1B4P1/r3R1K1 w - - 0 24,g4g7,1033
ADQ2X,2kr1b1r/pp3Qp1/2p5/4P3/5P2/2P5/P2qNK1p/1R6 w - - 0 31,f7b7,1478
hB3hq,3R1rk1/2P2p2/4p1p1/3q4/3p4/6B1/2R2Q1K/1r6 b - - 3 40,d5h1 b1h1,1009
GE7ID,4r1k1/5p2/1p1P2p1/p6p/P7/1P1n1B2/3R2PP/5K2 b - - 0 30,e8e1,438
cZNDZ,3k4/1pp3q1/3p3p/2r5/3b1P2/1B2Q3/P3R3/1K5b w - - 2 40,e3e8,607
EAh4N,2R5/5B1k/3p2pp/2b5/P3K3/3Q3P/5qP1/8 b - - 2 37,f2f5,1342
NfIWJ,5rk1/5p1p/3b2p1/1p2q3/8/1P1B1Q2/2P3PP/5R1K b - - 2 32,e5h2,994
