puzzle_id,fen,key_moves,mate_in,rating
j1bTC,6k1/p1R2p1p/4p1p1/8/3P4/P3P3/Pr3PPP/6K1 b - - 0 25,b2b1,2,536
2aDt1,7r/1R4pp/k1r2p2/5Q2/8/2q5/P4PPP/1R4K1 b - - 0 27,c3c1,2,825
CIx6z,r3r1k1/5pp1/4N2p/p1bp1P1Q/2p5/P1Bnq1P1/6BP/R4R1K b - - 1 28,e3g1,2,1529
yq4vr,3r1rk1/ppp2p1p/2n2p2/2b5/4R3/1B6/PPP2PPP/R1B3K1 b - - 0 15,d8d1,2,634
B3nhV,4n2k/p4Qpp/3q1p2/4p3/1P1r2NP/P4P2/6PK/8 w - - 5 38,f7e8,2,765
64ruL,3R4/5ppk/7p/3Q1b1q/5Bn1/2P5/PP3PP1/4rBK1 b - - 3 33,h5h1,2,1836
q6o0L,4rb1k/1pn2Qpp/4P3/2p5/2q5/7P/6P1/5RK1 w - - 2 31,f7f8,2,1075
O2fP5,6k1/4rp1b/n2R3p/4B1p1/1P2n1P1/7P/5qB1/R4N1K w - - 2 31,d6d8,2,555
OAXeh,6k1/1p2Rrpp/p1pB1p2/3p4/1P6/2N2P2/P1q2P1P/R5K1 w - - 0 20,e7e8,2,806
sPSuS,r5k1/pp2p3/3p4/2pPqQ2/2P1P1np/P1N3r1/1P3PP1/4RR1K b - - 4 31,g3h3,2,1552
Ly7D5,rn2kbr1/pp3p2/1qp4p/3pPQB1/3P4/2N4P/PPP1N3/R5K1 w q - 0 18,f5c8,2,997
oz2Go,4kbnr/q2n2p1/2pp3p/4p3/3PP1P1/1b2BN1P/1P1QNP2/1K1R3R b k - 2 23,a7a2,2,918
kBkon,k2r2nr/P1p1qp1p/Bp4p1/2pP1b2/Q7/5n2/Pb3PPP/R4R1K w - - 0 20,a4c6,2,1131
8Oazg,6rk/p4p1p/2q5/1p1Rp3/2P5/5B2/P1Q4K/5R2 b - - 1 30,c6h6,2,936
YZvuc,5N1r/8/3Qp3/5k1p/8/6PK/P3qNBP/8 b - - 0 35,e2g4,2,863
zS5RH,2rN4/1p4pk/4Q3/p2p4/3P1qn1/2P2P2/PP5P/1R2R1K1 b - - 0 29,f4h2,2,1159
dQgGS,r3rbk1/1ppq1pp1/3p3p/pP1Pp3/P3Pn2/B1P2N1P/5P2/R2QRN1K b - - 1 21,d7h3,2,889
uKMc7,2kr3r/Bpp1bppp/2n5/4P3/8/3B2P1/PPPQ1P1q/2Kb4 w - - 0 15,d3f5,2,1453
NGgkl,4r1k1/p2R1pp1/7p/3q4/2n3B1/2P3PP/P1Q2P2/6K1 b - - 2 28,e8e1,2,1179
03fg2,8/6kp/2p3p1/2P2p2/8/2R1P3/r4PPP/6K1 b - - 0 33,a2a1,2,528
IAVGM,4q2k/4r3/p4p1p/2p2Q2/P1B2P2/2PP4/6PP/5K2 b - - 4 32,e7e1,2,1402
29H1W,5rk1/ppp2r1p/3b2pQ/3P2B1/4P3/7P/P5P1/2R2R1K b - - 0 25,f7f1,2,911
9YgJV,8/1k6/2p5/r7/3P4/2P1R1p1/6P1/6K1 b - - 1 41,a5a1,2,640
XzIQC,5r1k/6pp/8/p7/Pp6/1Pp3P1/2P2qPP/3Q1R1K b - - 0 29,f2f1,2,690
Mgghx,5rk1/3Q1ppp/5q2/2b1p3/4P3/6PP/PP3RB1/R1B3K1 b - - 0 20,f6f2,2,1334
aq9yw,6r1/pR6/5k2/5p1K/7P/P1P2P2/2P2P2/8 b - - 0 36,g8h8,2,1023
ULgaB,3r3r/pp2Q3/1k5p/2p2Bp1/1qn5/1PN3P1/P1P1N1P1/2KR3R b - - 0 22,b4a3,2,1064
5HpBL,8/1R6/3Q1bpk/7p/5P2/7P/6PK/1qq5 w - - 0 39,d6f8,2,1231
yCoul,7k/p5p1/7p/4PQq1/3P1R2/4P3/Prr3P1/5BK1 b - - 0 30,c2g2,2,1168
imxoq,r1bBk2r/pppp1pp1/2n4p/2b1p3/4n3/P2P1P2/1PP3PP/RN1QKBNR b KQkq - 0 7,c5f2,2,1185
cdn7K,5k2/2p2p1B/p3bN1p/1p2P3/8/6RP/Pr3rP1/6K1 w - - 2 26,g3g8,2,1002
PFNi1,r2qkb1r/pp1np3/2p4p/3p1pp1/3P4/4PBnP/PPPN1PP1/R2QK2R w KQkq - 0 12,f3h5,2,1113
rNsnw,r5rk/1pp2p1p/p2b4/3Pp3/P1N1Pp1q/2N2Q2/1P5P/R1B1R2K b - - 0 22,h4e1,2,743
neSrT,6k1/1r3ppp/4p3/1r1pN1q1/3P4/P5P1/1PQ2PP1/1n2K2R w K - 0 25,c2c8,2,1175
jXMo7,2r3k1/p1r2ppp/3p4/3P4/2R3Q1/1P1n3K/P2q2PP/8 w - - 0 27,g4c8,2,1248
QymSm,8/4p3/p5p1/1p6/1R6/3R3P/r1r5/k6K w - - 6 69,d3d1,2,736
TS56r,5r2/2p2p2/1p1p1R2/6pk/R7/2P4P/6PK/q3r3 w - - 0 37,g2g4,2,1209
NUZFt,2r5/4Q2p/6pk/3p4/3N3P/1Pq5/P5P1/1K1n4 w - - 6 29,d4f5,2,1935
U2C2Q,5rk1/pp4pp/1R6/2p5/3bp1Q1/4B3/P1P3PP/7K b - - 0 20,f8f1,2,1305
NU8Tj,rn4k1/1pp3pp/8/3P2N1/pP5P/P3q1p1/6B1/1b3Q1K w - - 0 27,f1f7,2,974
3iuXq,8/5Q2/p5pp/5p1k/3P3q/5P2/PP4BP/4R2K b - - 1 35,h4e1,2,715
pnykX,r3k2r/pbP2ppp/1pq5/8/1QP5/B4N1P/P4P1P/R4RK1 b kq - 0 22,c6g6,2,1705
HnWLi,6k1/p4ppp/1p6/3R4/8/2r1P3/P4PPP/6K1 b - - 0 21,c3c1,2,620
qoK0h,6k1/pp2r2p/8/1R1b2pP/P2N4/2P3P1/2P2P2/6K1 b - - 3 28,e7e1,2,711
7Qt7B,4r1k1/pp4Pp/7B/3p4/1P1Pq3/P3n1QP/4r1P1/5R1K w - - 4 29,f1f8,2,965
kpYZl,3r2k1/1p3pp1/p1p2q1p/7b/1P6/2nB1N1P/2P1QPP1/4R1K1 w - - 2 22,e2e8,2,712
sPKGo,1k1r4/1pp1ppBp/6p1/8/8/P1P2N2/5PPP/6K1 b - - 0 22,d8d1,2,583
SnUFW,3r1rk1/p1p2p2/2p5/5Q2/3P3q/N3P1p1/P3BRP1/R5K1 b - - 0 23,h4h2,2,977
OkKpU,1k3r2/5p2/Q2P4/4P3/8/3q4/6PP/1R5K b - - 0 57,d3b1,2,1018
4qBtz,3R4/1p2rppk/2p2R1p/p3n3/8/6QP/P3qPP1/6K1 w - - 3 33,f6h6,2,1238
Xxa4q,2rn4/2p2Rpk/1b4pp/1p1Np3/p3P1P1/2Pr3P/PP5K/R1B5 w - - 1 32,d5f6,2,887
xqxH6,r3kbnr/ppp1pppp/8/7q/3n4/2NP1BP1/PPP1NP1P/R1BQK2R b KQkq - 0 8,d4f3,2,1553
fNSvR,6r1/P4k2/R7/1p5K/1P5P/4R1P1/5r2/8 b - - 0 58,f2f5,2,1418
