puzzle_id,fen,key_moves,mate_in,rating
sp001465,3Q4/4B1k1/6B1/2p2K2/1pP2P1P/2q5/r7/q7 w - - 1 40,d8f8,1,0
sp001404,8/5K1k/5P1p/Pb4P1/1P3p2/2P5/8/b6R w - - 1 35,h1h6,1,0
sp001133,4R2R/6k1/Pn3pP1/5PP1/8/1PK5/8/7q w - - 2 45,h8g8 e8g8,1,0
sp000302,R7/1p6/1P6/1Kp5/8/r5pp/5q2/3b3k b - - 5 59,d1e2,1,0
sp000831,8/8/8/1P2k1q1/5p2/2p4K/8/3b1R1B b - - 0 44,g5g3,1,0
sp002121,Q2B3r/P2R4/5b2/2pPkp2/2P1b3/4K3/8/7q b - - 5 32,h1e1,1,0
sp000066,3qk1nr/rp6/pnp3Pp/4pp2/4P3/1QPP1N2/5PP1/R3KB1R w KQk - 0 18,b3f7,1,0
sp002487,1Q5b/4N1k1/2Kp1p1p/5P2/8/5P1P/6P1/3n4 w - - 1 35,b8g8,1,0
sp002231,8/1B6/2K4P/5Q2/8/2p3p1/8/6rk w - - 11 48,f5h3,1,0
sp002180,7q/3K4/5p1P/2q1kp2/4pp2/8/8/6b1 b - - 0 43,h8c8 c5d6,1,0
sp001212,R7/8/8/5p1p/5PpP/1Nb1k1K1/4b3/q6r b - - 1 53,a1g1,1,0
sp000381,7r/3n4/K3P1P1/1P6/2P5/2k1p3/P3bq2/7q b - - 0 43,h8a8 h1a8,1,0
sp000923,N7/5k2/5n1p/3P1K2/1p3P1P/2R5/8/3q4 b - - 0 43,d1h5 d1d5,1,0
sp002985,1R6/P1k5/1NB2p2/5Q2/4Kb2/2P5/8/5nr1 w - - 1 42,f5d7,1,0
sp002132,7R/8/3b4/2kPp3/p2pP3/P2K1pp1/5q2/8 b - - 7 43,f2e2,1,0
sp001088,B7/2Q5/2pR4/P3P1kp/3PK3/1N5P/1PQ5/7R w - - 0 40,c7d8 c7e7,1,0
sp000153,6R1/8/3p1NP1/p2q1BP1/3k1P2/2p5/2K5/q3r3 b - - 7 38,d5a2 e1e2 e1c1 a1a4 a1b2 a1a2 a1d1 a1c1 a1b1,1,0
sp000361,r3k2r/1pQ2p1p/p3bB2/3P2K1/5P2/R7/1P1N3q/8 b kq - 0 26,h7h6,1,0
sp003123,5N2/P1bR4/2p3p1/1q3pP1/3K1k2/2P4P/8/8 b - - 2 42,c7b6 c7e5,1,0
sp001555,3R4/2bn2P1/8/2p2p2/1p3k2/1Pn1pp2/4b2r/4K1R1 b - - 1 40,f3f2,1,0
sp002584,4R3/3Q4/1n5k/3BPP1p/2P4P/8/2K5/7q w - - 1 48,e8h8 e8e6,1,0
sp001430,6Q1/1pp3b1/n2k3p/2NP4/1P2ppK1/P1P5/1B4P1/R4q2 w - - 0 27,g8e6,1,0
sp000994,1K4B1/3R1B2/8/8/5P2/8/4Q3/3q2k1 w - - 18 63,d7d1,1,0
sp002355,8/8/8/3Bb2p/7P/7K/4kq2/1r6 b - - 20 91,f2g3 f2h2,1,0
sp002560,1K6/3P4/2N2k1P/8/3bQ3/8/8/1Q6 w - - 21 59,e4e7 e4g6 e4f5,1,0
sp001915,7K/8/2P2P2/5p2/N7/4q3/6r1/5k2 b - - 0 69,e3h6 e3h3,1,0
sp001115,B7/2b5/8/8/6r1/3K2k1/1r3q2/8 b - - 5 86,f2d4 f2d2 b2b3,1,0
sp000108,2kr3r/1pp2p2/p4P1p/1b1P2p1/P4bP1/2P2N1P/2Q2K2/q7 b - - 0 24,a1f1,1,0
sp001167,Q6r/8/5p2/2p2P2/2k1KP2/R1P4p/8/2b4r w - - 0 35,a8a6 a8a4,1,0
sp000116,3Q4/1B5p/1p2k3/3n1p2/8/R4N1P/1P3PPK/5R2 w - - 0 28,b7d5,1,0
sp001083,8/3PKQ2/6P1/3R1P2/8/8/2B4Q/4k3 w - - 3 77,d5d1,1,0
sp000942,4k3/6p1/1n2K1P1/7q/p4b2/P1P1Np2/8/8 b - - 14 40,h5g6 h5e5,1,0
sp003226,5K2/7q/8/5p2/8/2Q2p2/4qPk1/6r1 b - - 2 61,e2e7,1,0
sp001362,4k3/1r1n2p1/1p1P4/4P1p1/5pp1/2n4r/5K1P/7q b - - 0 28,h3f3 h3h2,1,0
sp000616,r2Bkn1R/1p6/p7/2p2p2/5Pp1/2n1ppP1/4p3/4K3 b q - 1 28,f3f2,1,0
sp001312,K1B3R1/3R4/8/8/8/8/7Q/4k3 w - - 42 105,g8g1,1,0
sp001423,7k/3n1B2/2rb1n1P/4p1N1/1p2P2K/1P1P4/8/2rq4 b - - 1 40,d1g4,1,0
sp003295,3Q3Q/3Pb3/2KNk3/rP2p3/4P3/5n2/8/8 w - - 1 63,d8g8,1,0
sp000548,8/8/1B5p/2p3p1/5kP1/1P1K1p2/8/6Q1 w - - 2 38,b6c7,1,0
sp001554,7R/2bn2P1/8/1pp2p2/5k2/1Pn1pp2/4b2r/4K1R1 b - - 1 39,f3f2,1,0
sp002904,8/8/p4K2/N7/1Q6/2P5/1q5Q/1k3b2 w - - 13 58,b4b2 h2b2,1,0
sp003006,Q7/8/1N1k1K2/3B4/8/2P3bR/8/7r w - - 7 59,a8c6,1,0
sp000453,B6r/5kb1/p4p2/P4P1p/8/1bpp3P/1p6/1K1n4 b - - 1 38,c3c2,1,0
sp001498,rn2kb1r/1pp3pp/p4P2/6B1/q2p4/2P2b1P/PP3PP1/RN2KB1R b KQkq - 0 11,a4d1,1,0
sp000937,4k3/6p1/1n4P1/8/p1q2b2/P1P1Np2/3K4/7q b - - 5 32,c4e2,1,0
sp002044,1Q2Q3/5R2/2P4p/2N4k/1P5P/2P3b1/2K5/6r1 w - - 1 46,f7f4,1,0
sp001134,4R3/3n2k1/P4pP1/5PP1/8/1PK5/8/7R w - - 1 46,h1h7,1,0
sp003017,2Q3K1/5B2/7b/8/8/6Q1/8/5k2 w - - 43 122,c8a6 c8c4 f7c4,1,0
sp003298,6Q1/4KQ2/5Q2/8/5p2/5P2/8/7k w - - 33 90,f7h7 f7h5 f6h8 f6h6 f6h4,1,0
sp001015,1R6/k3N3/1n3p2/1P3pb1/5P2/8/3K4/3b2b1 w - - 5 45,e7c6,1,0
sp000021,5r2/5p2/p1p2P2/P5P1/4KPk1/1Nb5/4b3/8 b - - 8 35,f8e8,1,0
sp002706,3BQR2/2K5/2P4k/7p/p4p1P/P7/2B1n3/r7 w - - 3 56,e8g6,1,0
sp000039,3B4/8/2B2PK1/1P6/6k1/7R/7Q/4q3 w - - 3 52,c6f3,1,0
sp002813,7K/8/2pq4/8/8/1bn5/8/1r5k b - - 49 93,d6h6,1,0
sp003277,8/4B3/2p1P1kp/1pP2p2/3p4/r3n1pP/6P1/6K1 b - - 0 34,a3a1,1,0
sp002767,6RK/8/4p3/4p3/4P2P/2k5/5q2/q5q1 b - - 59 98,f2h4,1,0
sp002309,B7/8/7p/1P2Pk2/3p1B2/1n5P/4K1P1/q4r2 b - - 0 40,a1d1,1,0
sp002272,8/pp4pp/4k3/n3pp2/3pP3/P2P1NBP/1P1KBPP1/2r1R2R b - - 3 22,a5b3,1,0
sp000991,4Q3/2bR1B2/1pk5/p1p5/P1K2p2/2RP4/8/8 w - - 9 42,f7d5,1,0
sp001594,1r2k2r/6p1/5pP1/p4P2/3PPb2/7P/K5P1/3q3R b k - 0 30,d1a4,1,0
sp002841,5K2/8/2P3k1/3q4/3p4/8/8/8 b - - 0 74,d5d8 d5f7,1,0
sp002553,r7/5Qp1/k1K1P1P1/p7/P4P2/8/8/6r1 w - - 0 50,f7b7,1,0
sp000135,R2QR3/1B6/2N5/5k2/5P2/2P3pK/8/8 w - - 2 42,d8g5,1,0
sp002522,8/8/1pp4k/1p2QK1n/1P3pp1/2P5/8/r7 w - - 0 39,e5h8,1,0
sp001024,1R6/k3N3/5P2/1P3p2/3Kn3/8/8/3b4 w - - 1 51,e7c6,1,0
sp001308,RQ6/8/1nN2k2/2p2P2/5PB1/2P1K3/2b5/8 w - - 3 42,b8f8,1,0
sp003236,4Q3/K5P1/1N2Qp1k/5P2/5P1p/8/8/2rq4 w - - 17 68,e8h8 e8g6,1,0
sp002964,8/4Q3/5pp1/4P2p/5P1K/2P4P/1k6/b5q1 b - - 0 35,g1f2 g1e1,1,0
sp001481,7r/8/p2P2p1/Pp6/1P1kp1K1/3N1n2/2q2b2/7r b - - 6 44,h8h4 h1h4,1,0
sp000987,4Q3/3R1B2/1pk5/p1p5/P1K2p2/2bP4/3R4/8 w - - 5 40,e8c8 e8e6 f7d5,1,0
sp001752,4k3/2b5/1nb3p1/4p1N1/2P3P1/r7/4K1P1/1q5r b - - 1 34,b1c2 b1b2 b1a2 b1e1,1,0
sp001853,R5R1/8/1P1p4/3Pnk2/4p3/6P1/3bK1P1/1q6 b - - 0 39,b1e1,1,0
sp002308,Q6R/3R2Q1/8/5P2/2P1B3/2P1k3/2Q5/4K3 w - - 5 59,g7h6 g7g5 g7g3 c2f2 c2d2 c2c1,1,0
